greek,english,greek_to_english_score,english_to_greek_score,recent_wrong,explanations_examples
για παράδειγμα,for example,0,0,0,"Means for example. Example: Θέλω κάτι, για παράδειγμα νερό = I want something, for example water."
όπως,like / as,0,0,0,Means like or as. Example: Όπως είπα = As I said.
έτσι,like this / so,0,0,0,"Means like this, this way, or so. Example: Κάν’ το έτσι = Do it like this."
έτσι κι αλλιώς,anyway,0,0,0,Means anyway or in any case. Example: Έτσι κι αλλιώς θα πάω = I will go anyway.
τελικά,finally / in the end,0,0,0,Means finally or in the end. Example: Τελικά πήγαμε = In the end we went.
γενικά,generally,0,0,0,"Means generally. Example: Γενικά μου αρέσει = Generally, I like it."
συνήθως,usually,0,0,0,Means usually. Example: Συνήθως πίνω νερό = I usually drink water.
μερικές φορές,sometimes,0,0,0,Means sometimes. Example: Μερικές φορές πάω εκεί = Sometimes I go there.
πάντα,always,0,0,0,Means always. Example: Πάντα θέλω καφέ = I always want coffee.
ποτέ,never / when,0,0,0,Means never. Do not confuse with πότε meaning when. Example: Ποτέ δεν πάω εκεί = I never go there.
ακόμη,still / yet,0,0,0,"Means still or yet, close to ακόμα. Example: Είναι ακόμη εδώ = He is still here."
μέχρι,until,0,0,0,Means until or up to. Example: Μέχρι αύριο = Until tomorrow.
από,from,0,0,0,"Means from or by, depending on context. Example: Είμαι από το Ισραήλ = I am from Israel."
προς,toward / towards,0,0,0,"Means toward or to, usually direction. Example: Πάμε προς τα δεξιά = We are going toward the right."
με,with,0,0,0,Means with. Example: Με εσένα = With you.
χωρίς,without,0,0,0,Means without. Example: Χωρίς νερό = Without water.
για,for,0,0,0,"Means for, about, or in order to, depending on context. Example: Αυτό είναι για εσένα = This is for you."
σε,to / in / at,0,0,0,"Very common preposition meaning to, in, or at. Example: Σε ένα σπίτι = In a house."
από τότε,since then,0,0,0,Means since then. Example: Από τότε μένω εδώ = Since then I have lived here.
μέχρι τότε,until then,0,0,0,"Means until then. Example: Μέχρι τότε, μένω εδώ = Until then, I am staying here."
γι’ αυτό,that’s why,0,0,0,Means that is why or for this reason. Example: Γι’ αυτό δεν πάω = That is why I am not going.
παρ’ όλα αυτά,nevertheless,0,0,0,"Means nevertheless or despite all that. Example: Βρέχει, παρ’ όλα αυτά πάμε = It is raining, nevertheless we go."
από την άλλη,on the other hand,0,0,0,"Means on the other hand. Example: Θέλω να πάω, από την άλλη είμαι κουρασμένος = I want to go, on the other hand I am tired."
με άλλα λόγια,in other words,0,0,0,"Means in other words, used to rephrase. Example: Με άλλα λόγια, δεν θέλω = In other words, I do not want it."
